Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Londerzeel;7,9;7,9;7,9;7,2;7,2;7,2;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Lo-Reninge;8;8;8;8;8;8;8;8;8;7,9;7,8;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7
Lovendegem (t/m 2018);7,5;7,5;7,5;7,5;7,5;7,5;7,2;7,2;7,2;7,2;7;;;;;;;;
Lubbeek;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Lummen;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7
Maarkedal;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Maaseik;8;8;8;8;8;8;8;8;8;8;8;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5
Maasmechelen;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,1;8;7,9;7,9;7,8
Machelen;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
Maldegem;8;8;8;8;8;8;7,5;7,5;7,5;7,5;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
Malle;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Mechelen;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,5
Meerhout;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8
Meeuwen-Gruitrode (t/m 2018);8;8;8;8;8;8;8;8;8;8;6,5;;;;;;;;
Meise;8,5;8,5;8,5;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,1;8;7,9;7,9;7,9
