Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Seraing;;;;;;;;;;;;;;;;;;;8,5
Silly;;;;;;;;;;;;;;;;;;;7,8
Sint-Agatha-Berchem;;;;;;;;;;;;;;;;;;;6,5
Sint-Gillis;;;;;;;;;;;;;;;;;;;6,3
Sint-Jans-Molenbeek;;;;;;;;;;;;;;;;;;;7,0
Sint-Joost-ten-Node;;;;;;;;;;;;;;;;;;;6,5
Sint-Lambrechts-Woluwe;;;;;;;;;;;;;;;;;;;5,4
Sint-Pieters-Woluwe;;;;;;;;;;;;;;;;;;;5,7
Sivry-Rance;;;;;;;;;;;;;;;;;;;8,8
Soignies;;;;;;;;;;;;;;;;;;;8,0
Sombreffe;;;;;;;;;;;;;;;;;;;8,0
Somme-Leuze;;;;;;;;;;;;;;;;;;;7,9
Soumagne;;;;;;;;;;;;;;;;;;;8,4
Spa;;;;;;;;;;;;;;;;;;;7,0
Sprimont;;;;;;;;;;;;;;;;;;;8,5
Stavelot;;;;;;;;;;;;;;;;;;;8,5
Stoumont;;;;;;;;;;;;;;;;;;;8,0
Tellin;;;;;;;;;;;;;;;;;;;8,0
Tenneville;;;;;;;;;;;;;;;;;;;7,0
Theux;;;;;;;;;;;;;;;;;;;7,1
Thimister-Clermont;;;;;;;;;;;;;;;;;;;7,5
Thuin;;;;;;;;;;;;;;;;;;;8,4
Tinlot;;;;;;;;;;;;;;;;;;;8,0
Tintigny;;;;;;;;;;;;;;;;;;;7,5
Tournai;;;;;;;;;;;;;;;;;;;8,8
Trois-Ponts;;;;;;;;;;;;;;;;;;;8,0
Trooz;;;;;;;;;;;;;;;;;;;8,5
Tubize;;;;;;;;;;;;;;;;;;;8,0
Ukkel;;;;;;;;;;;;;;;;;;;5,6
Vaux-sur-Sûre;;;;;;;;;;;;;;;;;;;7,0
Verlaine;;;;;;;;;;;;;;;;;;;7,8
Verviers;;;;;;;;;;;;;;;;;;;8,5
Vielsalm;;;;;;;;;;;;;;;;;;;8,8
Villers-la-Ville;;;;;;;;;;;;;;;;;;;8,0
Villers-le-Bouillet;;;;;;;;;;;;;;;;;;;8,4
Viroinval;;;;;;;;;;;;;;;;;;;8,5
Virton;;;;;;;;;;;;;;;;;;;8,5
Visé;;;;;;;;;;;;;;;;;;;8,8
Vorst;;;;;;;;;;;;;;;;;;;7,0
Vresse-sur-Semois;;;;;;;;;;;;;;;;;;;6,0
Waimes;;;;;;;;;;;;;;;;;;;7,5
Walcourt;;;;;;;;;;;;;;;;;;;8,0
Walhain;;;;;;;;;;;;;;;;;;;8,4
Wanze;;;;;;;;;;;;;;;;;;;8,4
Waremme;;;;;;;;;;;;;;;;;;;8,5
Wasseiges;;;;;;;;;;;;;;;;;;;8,0
Waterloo;;;;;;;;;;;;;;;;;;;5,7
Watermaal-Bosvoorde;;;;;;;;;;;;;;;;;;;6,9
Wavre;;;;;;;;;;;;;;;;;;;7,3
Welkenraedt;;;;;;;;;;;;;;;;;;;7,9
Wellin;;;;;;;;;;;;;;;;;;;7,8
Yvoir;;;;;;;;;;;;;;;;;;;8,5
